ID,title,year_of_commissioning,area_sq_m,apartment_storey,district,location,price_m2,loc_mid,location_group
3432,United center-t 3 oroo bair,2020,88,12,Bayanzurkh,13-r khoroolol,15,13-r khoroolol,13-r khoroolol
6961,220k d 3 oroo,2013,120,15,Sukhbaatar,Busad,14.33333333,220 myangat,SBTalbai
4480,River tower-t 380m2 bair,2018,380,13,KHan-Uul,River Garden,11.84210526,River Garden,Marshal
3245,Bella vista-d 4 oroo,2021,163,2,KHan-Uul,Zaisan,11.65644172,Zaisan,Zaisan
4320,Zaisand bella vista khotkhond 4 oroo bair,2019,163,2,KHan-Uul,Zaisan,11.65644172,Zaisan,Zaisan
5187,Bella vista luxury khotkhond 4 oroo,2021,163,2,KHan-Uul,Zaisan,11.65644172,Zaisan,Zaisan
6420,Zaisan bella vista luxury khotkhond 163 mkw 4 oroo,2020,163,3,KHan-Uul,Zaisan,11.65644172,Zaisan,Zaisan
6437,Zaisan bella vista luxury khotkhond 163 mkw 4 oroo,2019,163,2,KHan-Uul,Zaisan,11.65644172,Zaisan,Zaisan
4025,Japan town c5 3oroo bair,2022,134,2,KHan-Uul,Japan town,11.49253731,Japan town,Tsengeldekh
5050,Japan town c5-d 4 oroo,2017,166,8,KHan-Uul,Japan town,11.44578313,Japan town,Tsengeldekh
6421,Japan town c5|166m2 |4oroo oron suuts,2018,166,7,KHan-Uul,Japan town,11.44578313,Japan town,Tsengeldekh
4753,Sb talbain chankh urd 3 oroo bair,2019,156,10,Sukhbaatar,Busad,11.21794872,SBTalbai,SBTalbai
7863,Sb talbain chankh urd 3 oroo bair,2019,156,10,Sukhbaatar,Busad,11.21794872,SBTalbai,SBTalbai
653,Sky garden residence khotkhond 4 oroo bair 110.56m2,2022,110.56,3,KHan-Uul,Busad,11.21562952,Sky garden,Marshal
1679,220k residence-d 92.15mk 3 oroo bair,2018,92,13,Sukhbaatar,220 myangat,11,220 myangat,SBTalbai
3146,220k residence-d 84.49mk 3 oroo bair,2019,85,13,Sukhbaatar,220 myangat,11,220 myangat,SBTalbai
1283,Soyombo tauert 4 oroo oron suuts,2022,132.72,9,Sukhbaatar,"40, 50 myangat",10.92525618,"40, 50 myangat","40, 50 myangat"
655,"KHud, japan town c-5 khotkhond 3 oroo",2019,133.5,13,KHan-Uul,Busad,10.86142322,Japan town,Tsengeldekh
2986,Japan town c5 3 oroo bair,2020,133.5,13,KHan-Uul,Japan town,10.86142322,Japan town,Tsengeldekh
4129,"𝐉𝐀𝐏𝐀𝐍 _𝐓𝐎𝐖𝐍 𝐂𝟓 blokd 133.5m2 , 3 oroo bair.",2019,133.5,3,KHan-Uul,Japan town,10.86142322,Japan town,Tsengeldekh
4963,"𝐉𝐀𝐏𝐀𝐍 𝐓𝐎𝐖𝐍 𝐂𝟓 blokd 133.5m2 , 3 oroo oron suuts",2020,133.5,13,KHan-Uul,Japan town,10.86142322,Japan town,Tsengeldekh
5081,"Japan town c-5 blokd 133.5m2 , 3 oroo bair",2018,133.5,8,KHan-Uul,Japan town,10.86142322,Japan town,Tsengeldekh
5817,Japan town c5-d 3 oroo 133.5m2,2016,133.5,13,KHan-Uul,Japan town,10.86142322,Japan town,Tsengeldekh
7748,Japan town c5 3 oroo bair 133.5m2,2018,133.5,2,KHan-Uul,Japan town,10.86142322,Japan town,Tsengeldekh
7380,Japantown 3 oroo,2018,133.51,2,KHan-Uul,Japan town,10.86060969,Japan town,Tsengeldekh
1795,220k residence khotkhond 3 oroo bair,2018,84,10,Sukhbaatar,220 myangat,10.85,220 myangat,SBTalbai
3021,220k 3 oroo,2018,84.5,10,Sukhbaatar,220 myangat,10.84023669,220 myangat,SBTalbai
696,Japan town c5-d 3 oroo 134m2,2018,134,2,KHan-Uul,Busad,10.82089552,Japan town,Tsengeldekh
3214,Japan town c5 3 oroo,2018,134,2,KHan-Uul,Japan town,10.82089552,Japan town,Tsengeldekh
3387,Japan town c5 oron suuts,2022,134,3,KHan-Uul,Japan town,10.82089552,Japan town,Tsengeldekh
3424,Japan town c5 tyerrastai 3 oroo 134 mkw,2020,134,2,KHan-Uul,Japan town,10.82089552,Japan town,Tsengeldekh
3795,Japan taun japan town c5-d 3 oroo tyerrastai oron suuts,2018,134,3,KHan-Uul,Japan town,10.82089552,Japan town,Tsengeldekh
4076,Japan town c5 3 oroo,2018,134,2,KHan-Uul,Japan town,10.82089552,Japan town,Tsengeldekh
7629,"Japan town c5 3 oroo 133,5 m2",2018,134,2,KHan-Uul,Japan town,10.82089552,Japan town,Tsengeldekh
4665,��𝐀𝐏𝐀𝐍 _𝐓𝐎𝐖𝐍 𝐂𝟓 blokd bair 3 oroo bair,2020,136,25,KHan-Uul,Japan town,10.66176471,Japan town,Tsengeldekh
4633,Japan town c5 khotkhond,2018,138,2,KHan-Uul,Japan town,10.50724638,Japan town,Tsengeldekh
3797,Regis place -d,2022,88,12,KHan-Uul,120 myangat,10.5,120 myangat,120 myangat
2475,Regis place 115mkw 3 oroo,2022,115,14,KHan-Uul,120 myangat,10.17391304,120 myangat,120 myangat
4085,Olympic residence,2018,140.5,6,Sukhbaatar,Busad,10.03558719,Olympic residence,SBTalbai
1143,Olympic residence-d 3 oroo bair,2020,140,22,Sukhbaatar,Busad,10,Olympic residence,SBTalbai
1663,Olympic residence 3 oroo bair,2020,140,6,Sukhbaatar,Busad,10,Olympic residence,SBTalbai
2376,Olympic residence 140mkw 3oroo,2020,140,6,Sukhbaatar,Busad,10,Olympic residence,SBTalbai
4920,Sappora 1 oroo,1991,12,1,Songino KHairkhan,1-r khoroolol,10,1-r khoroolol,1-r khoroolol
6333,TSengeldekhiin khajuud 2 oroo,2022,50.6,4,KHan-Uul,120 myangat,10,120 myangat,120 myangat
6869,Bzd 16-r khoroo saruul tenger khotkhond 2 oroo bair 40m2,2016,40,1,Bayanzurkh,16-r khoroolol,10,16-r khoroolol,Tsaiz
1869,Shambha-la garden&village-d single khaus,2022,542,3,KHan-Uul,Zaisan,9.778597786,Zaisan,Zaisan
4102,Ss garden 4 oroo,2020,206,3,KHan-Uul,Busad,9.708737864,SS garden,120 myangat
5545,Ss garden khotkhond 206mkw 5 oroo,2021,206,4,KHan-Uul,Japan town,9.708737864,Japan town,Tsengeldekh
4872,KHotыn tow -d 115mkw 2 oroo oron suutsыg zasal tawilgыn kh,2021,115,13,KHan-Uul,120 myangat,9.565217391,120 myangat,120 myangat
5861,120 myangat temeetei khoshoonii zuun tald regis place 115 mkw 2 oroo,2022,115,13,KHan-Uul,120 myangat,9.565217391,120 myangat,120 myangat
4457,120myangat regis place 3-oroo 92mkw,2022,92,13,KHan-Uul,120 myangat,9.554347826,120 myangat,120 myangat
7827,Soyombo tauert 4 oroo,2022,158,16,Sukhbaatar,220 myangat,9.5,220 myangat,SBTalbai
6518,Soyombo tower-t 155.89 mkw 4 oroo bair,2022,155.89,16,Sukhbaatar,"40, 50 myangat",9.493873885,"40, 50 myangat","40, 50 myangat"
1131,Regis place 3 oroo,2020,88.5,12,KHan-Uul,120 myangat,9.2,120 myangat,120 myangat
3577,Suis-iin baruun tald 1 oroo oron suuts tawilgыn khamt,1987,16,1,CHingeltei,Baga toirog,9.0625,Baga toirog,"40, 50 myangat"
7519,"Soyoombo tauert 67,45 mkw 2 oroo bair",2022,67.45,8,Sukhbaatar,Busad,9,Soyombo tower,SBTalbai
4120,Buddha vista khotkhond 300 mkw penthouse,2015,300,17,KHan-Uul,Bella Vista,8.96,Bella Vista,Zaisan
3604,"Byella wista khotkhond 252 m2, 5 oroo, 3 dawkhar taun khaus",2014,252,2,KHan-Uul,Bella Vista,8.73015873,Bella Vista,Zaisan
2826,"KHud, river plaza 4 oroo",2022,172,18,KHan-Uul,River Garden,8.720930233,River Garden,Marshal
3347,"KHud, river plaza ondor zeregleliin oron suutsand 4 oroo",2023,172,18,KHan-Uul,River Garden,8.720930233,River Garden,Marshal
346,Regis place 3 oroo bair,2022,85,14,Sukhbaatar,Busad,8.705882353,Regis place,120 myangat
3644,Regis place 3oroo bair 85m2,2021,85,13,KHan-Uul,Busad,8.705882353,Regis place,120 myangat
3960,Regis place 3 oroo,2021,85,13,KHan-Uul,120 myangat,8.705882353,120 myangat,120 myangat
1498,Baga tenger tsogtsolbor khotkhond 142m2 3oroo bair,2022,142,2,Bayanzurkh,Busad,8.661971831,Baga tenger,Baga tenger
6013,Baga tenger siti tsogtsolbor,2022,142,2,Bayanzurkh,Zaisan,8.661971831,Zaisan,Zaisan
4312,64-r delguurt 2 oroo,1990,29,4,Sukhbaatar,Busad,8.620689655,64,Emart Sansar
1836,Riwer gardyen zamыn esreg tald 5 oroo 531m2,2019,231,2,KHan-Uul,Marshall town,8.5,Marshall town,Marshal
3986,Deedsiin orgoo khotkhond 1 oroo bair 29.28m2.,2022,29.28,11,KHan-Uul,Nisekh,8.5,Nisekh,Nisekh
1373,SHambala khotkhond oron suuts 3 oroo 153m2,2020,153,4,KHan-Uul,Zaisan,8.4,Zaisan,Zaisan
3935,"Bzd, 13r khoroolold ugsarmalыn 18m2 1 oroo bair",1985,18,7,Bayanzurkh,13-r khoroolol,8.333333333,13-r khoroolol,13-r khoroolol
2978,Sky garden residence khotkhond 3 oroo,2023,106,13,KHan-Uul,River Garden,8.3,River Garden,Marshal
2897,Sky garden residence 4oroo bair,2022,145,1,KHan-Uul,River Garden,8.275862069,River Garden,Marshal
4757,KHud sky_garden recidence shine 145mkw 4 oroo bair,2022,145,1,KHan-Uul,Busad,8.206896552,Sky garden,Marshal
5875,KHud sky garden recidence shine 145mkw 4 oroo bair,2022,145,1,KHan-Uul,Busad,8.206896552,Sky garden,Marshal
1586,Sky garden 4 oroo,2022,145,1,KHan-Uul,Busad,8.2,Sky garden,Marshal
1715,Sky garden 4 oroo,2022,145,1,KHan-Uul,Busad,8.2,Sky garden,Marshal
3920,Sky garden residence-d 4 oroo bair,2022,145,1,KHan-Uul,River Garden,8.2,River Garden,Marshal
2026,Shambha-la garden village duplex 3oroo,2020,147,3,KHan-Uul,Busad,8.163265306,Shambala,Zaisan
3774,KHud shambha la tsetserlegt khotkhond 153mkw duplyeks 3 oroo,2020,147,3,KHan-Uul,Zaisan,8.163265306,Zaisan,Zaisan
1576,��𝐀𝐏𝐀𝐍 _𝐓𝐎𝐖𝐍 𝐂4blokd 252m2 4oroo bair,2020,252,8,KHan-Uul,Japan town,8.134920635,Japan town,Tsengeldekh
77,Sky garden-d 3 oroo bair,2023,106,10,KHan-Uul,River Garden,8.113207547,River Garden,Marshal
3140,Sky garden khotkhond 106mk tai 3 oroo,2022,106,13,KHan-Uul,River Garden,8.018867925,River Garden,Marshal
623,Mandala360 4oroo,2023,160,24,Bayanzurkh,Busad,8,Mandala360,National park
6025,Japan town c4 4 oroo,2016,191,6,KHan-Uul,Japan town,8,Japan town,Tsengeldekh
7406,Mansartnы 1oroo,2015,49,6,Bayanzurkh,15-r khoroolol,8,15-r khoroolol,Jukov
7788,Soyombo tower 5 uruu,2021,222.24,17,Sukhbaatar,220 myangat,8,220 myangat,SBTalbai
4916,Mandala 360 160mkw 4 oroo oron suuts,2022,160.25,18,Bayanzurkh,Busad,7.987519501,Mandala360,National park
6146,Sky garden residence 160mkw 4 oroo bair,2022,160,10,KHan-Uul,King Tower,7.9375,King Tower,Marshal
3455,Sapporod khuuchnы galtogoo tusdaa 1 oroo,1990,12,1,Songino KHairkhan,Busad,7.916666667,Sapporo,1-r khoroolol
6534,Shangri - la mall ыn zuun tald olympic residence 4 oroo,2018,205,14,Sukhbaatar,Busad,7.902439024,Olympic residence,SBTalbai
1391,5-r surguuliin urd 2 oroo,1980,32,3,CHingeltei,Baga toirog,7.8125,Baga toirog,"40, 50 myangat"
282,Olympic residence 4 oroo,2020,205,14,Sukhbaatar,Busad,7.804878049,Olympic residence,SBTalbai
3032,Olympic residence 4 oroo,2019,205,14,Sukhbaatar,Busad,7.804878049,Olympic residence,SBTalbai
6287,Olympic residence- d 4 oroo oron suuts,2018,205,14,Sukhbaatar,Busad,7.804878049,Olympic residence,SBTalbai
2053,1 oroo bair,1990,18,5,Bayangol,Tomor zam,7.777777778,Tomor zam,Tomor zam
1560,Riwyergardyen 4 oroo,2022,187,1,KHan-Uul,River Garden,7.754010695,River Garden,Marshal
4179,Japan town c4 252mk2 4 oroo,2018,252,9,KHan-Uul,Japan town,7.738095238,Japan town,Tsengeldekh
6400,River garden 2 4 oroo,2023,120,11,KHan-Uul,Busad,7.666666667,River Garden,Marshal
3147,Sky garden residence 166m.kw 4 oroo bair khudaldana.,2023,166,10,KHan-Uul,Busad,7.65060241,Sky garden,Marshal
4032,Sky garden residence 166m.kw 4 oroo bair khudaldana.,2022,166,10,KHan-Uul,Busad,7.65060241,Sky garden,Marshal
4128,Sky garden residence-d 4 oroo bair,2022,166,10,KHan-Uul,Busad,7.65060241,Sky garden,Marshal
4263,Sky garden khotkhond 166mk tai 4 oroo bair,2022,166,10,KHan-Uul,River Garden,7.65060241,River Garden,Marshal
4974,Sky garden 4 oroo bair,2023,166,11,KHan-Uul,River Garden,7.65060241,River Garden,Marshal
6419,KHUD 𝐒𝐊𝐘 𝐆𝐀𝐑𝐃𝐄𝐍 𝐑𝐄𝐒𝐈𝐃𝐄𝐍𝐂𝐄 166mkw 4 oroo,2023,166,10,KHan-Uul,River Garden,7.65060241,River Garden,Marshal
6844,Sky garden khotkhond 166m2 4 oroo oron suuts,2023,166,10,KHan-Uul,River Garden,7.65060241,River Garden,Marshal
2977,Sky garden residence khotkhond 4 oroo bair,2022,166,10,KHan-Uul,River Garden,7.65,River Garden,Marshal
2896,River plaza 4 oroo,2022,137.6,17,KHan-Uul,River Garden,7.630813953,River Garden,Marshal
3884,Rivergarden 2 125m2 4oroo uragshaa kharsan,2017,124.8,8,KHan-Uul,River Garden,7.600160256,River Garden,Marshal
488,Japan town c4 nuugeed orkhod belen 4 oroo,2014,191,6,KHan-Uul,Japan town,7.591623037,Japan town,Tsengeldekh
5958,Japan town c 4 khotkhond 4 oroo bair,2016,191,6,KHan-Uul,Japan town,7.591623037,Japan town,Tsengeldekh
4713,River garden khotkhond 124.8mkw 4oroo,2018,125,8,KHan-Uul,River Garden,7.588,River Garden,Marshal
6038,River garden 2 khotkhond tansag zeregleliin 125m2 4 oroo bair,2017,125,8,KHan-Uul,River Garden,7.588,River Garden,Marshal
4961,KHotыn tow ogoojiin urd,1990,18,3,Sukhbaatar,Busad,7.555555556,Khuukhdiin 100,Tsirk
2989,Sky garden residence 166m.kw 4 oroo bair,2021,166,3,KHan-Uul,Busad,7.530120482,Sky garden,Marshal
6643,Sky garden residence,2022,165.23,3,KHan-Uul,Busad,7.504690432,Sky garden,Marshal
2241,avenue residence 84.69m2 3 oroo,2023,84.69,13,CHingeltei,Baruun 4 zam,7.500295194,Baruun 4 zam,Baruun 4 zam
810,SHine togol khotkhon 3 oroo bair,2002,92,3,Sukhbaatar,Busad,7.5,Shine togol,Tsirk
1409,SHine togol khotkhon 3 oroo bair,2002,92,3,KHan-Uul,Busad,7.5,Shine togol,Tsirk
1553,"SHine togol khotkhon, 3 oroo bair",2002,92,3,Sukhbaatar,Busad,7.5,Shine togol,Tsirk
1590,SHine togol khotkhon 3 oroo bair,2002,92,3,Sukhbaatar,Busad,7.5,Shine togol,Tsirk
3086,SHine togol 3 oroo bair,2002,92,3,Sukhbaatar,Busad,7.5,Shine togol,Tsirk
3454,TSengeldekh khotkhond 117m2 bair 4 oroo,2021,117,13,KHan-Uul,Busad,7.5,Tsengeldekh khotkhond,Tsengeldekh
3522,SHangrilagыn khajuud olimpik ryesidensd 111m2 3 oroo bair,2021,111,13,Sukhbaatar,Busad,7.5,Olympic residence,SBTalbai
3552,Time classic tower 7 uruu,2019,191,21,Sukhbaatar,Busad,7.5,Time tower,National park
3931,SHine togol khotkhon 3 oroo bair,2006,92,3,Sukhbaatar,220 myangat,7.5,220 myangat,SBTalbai
4942,KHotыn towd naran tower 165 mkw 5 oroo,2023,165,12,Sukhbaatar,220 myangat,7.5,220 myangat,SBTalbai
5794,1-r khoroollыn tsambagarawt 1 oroo bair,1989,12,1,Songino KHairkhan,1-r khoroolol,7.5,1-r khoroolol,1-r khoroolol
5953,River garden 2-t 120m2 4 oroo bair,2021,120,11,KHan-Uul,River Garden,7.5,River Garden,Marshal
7838,SHine togol khotkhon 3 oroo,2002,92,3,Sukhbaatar,5-r khoroolol,7.5,5-r khoroolol,Tsirk
7854,SHine togol khotkhond 3 oroo,2002,92,3,Sukhbaatar,"40, 50 myangat",7.5,"40, 50 myangat","40, 50 myangat"
3825,Japan town c4 blokd 191mkw 4 oroo,2016,191,5,KHan-Uul,Japan town,7.486910995,Japan town,Tsengeldekh
5093,KHud 17-khoroo sky garden residence 166 mkw 4 oroo bair,2022,166,3,KHan-Uul,Busad,7.469879518,Sky garden,Marshal
6250,"KHud, skai gardyen khotkhond 166mkw 4 oroo",2022,166,3,KHan-Uul,Busad,7.469879518,Sky garden,Marshal
6452,Sky garden residence 166m.kw 4 oroo bair,2022,166,3,KHan-Uul,King Tower,7.469879518,King Tower,Marshal
4950,River plaza-d 4 oroo bair,2022,154.7,22,KHan-Uul,River Garden,7.433742728,River Garden,Marshal
6618,"River plaza-d deeguur dawkhart 148,3 mkw 4 oroo",2022,148,22,KHan-Uul,River Garden,7.432432432,River Garden,Marshal
6104,Time classic tower-t 4 uruu 139 mkv,2020,139.46,21,Sukhbaatar,5-r khoroolol,7.385630288,5-r khoroolol,Tsirk
7797,Nekhmel khotkhond 3 oroo duplex oron suuts,2022,70,16,KHan-Uul,19-r khoroolol,7.328571429,19-r khoroolol,19-r khoroolol
5719,Jardin residence khotkhond 3 oroo oron suuts,2017,130,1,KHan-Uul,Zaisan,7.307692308,Zaisan,Zaisan
7072,"Sukhbaatarыn talbain urd 169 m2, 3 oroo",2002,169,5,Sukhbaatar,Busad,7.3,SBTalbai,SBTalbai
4948,Vega city 134m2 4oroo shine bair,2023,140,16,KHan-Uul,KHurd,7.214285714,KHurd,Tsengeldekh
5317,KHud i martыn baruun tald vega city khotkhond 3 oroo,2022,99.7,3,KHan-Uul,Busad,7.201604814,Vega city,Tsengeldekh
6949,River plaza-d 153mkw 4 oroo,2021,153,8,KHan-Uul,River Garden,7.189542484,River Garden,Marshal
6966,River plaza-d 153mkw 4 oroo,2022,153,8,KHan-Uul,River Garden,7.189542484,River Garden,Marshal
2530,Erdeniin togol khotkhond 181.05m2 4 oroo,2017,181,5,KHan-Uul,Busad,7.182320442,Erdeniin togol,Marshal
5530,Jardin luxury residence -d 176.86 m.kw 4 oroo oron suuts,2018,176,4,KHan-Uul,Zaisan,7.102272727,Zaisan,Zaisan
2819,Bella vista byella wista khotkhond 3 oroo,2006,154,3,KHan-Uul,Bella Vista,7.1,Bella Vista,Zaisan
1572,"River plaza 154,6m2 4oroo",2021,155,19,KHan-Uul,River Garden,7.096774194,River Garden,Marshal
5793,River plaza-d 4 oroo,2022,172,12,KHan-Uul,River Garden,7.093023256,River Garden,Marshal
664,River plaza d 4 oroo oron suuts,2022,172.6,12,KHan-Uul,Busad,7.068366165,River plaza,Marshal
6454,River plaza- d 4 oroo oron suuts 172.6m2,2022,172.6,12,KHan-Uul,Busad,7.068366165,River plaza,Marshal
6485,River plaza apartment complex 172.6 mkw 4 oroo,2022,172.6,12,KHan-Uul,River Garden,7.068366165,River Garden,Marshal
297,��𝙄𝙑𝙀𝙍_𝙋𝙇𝘼𝙕𝘼 𝘼𝙋𝘼𝙍𝙏𝙈𝙀𝙉𝙏 𝘾𝙊𝙈𝙋𝙇𝙀𝙓 172.6 mkw 𝟒 oroo oron suuts,2023,173,12,KHan-Uul,River Garden,7.052023121,River Garden,Marshal
201,mandala taurt 160m2 4 oroo bair,2023,160.25,17,KHan-Uul,Busad,7,Mandala360,National park
3919,Zaisand 5 oroo,2023,281.8,8,KHan-Uul,Busad,7,Zaisan,Zaisan
4638,"River plaza-d 4 oroo 153,4m2",2022,153.4,8,KHan-Uul,River Garden,7,River Garden,Marshal
6578,Zaisan bella vista-d 109m2 buren tawilgatai 3 oroo bair tureeslluulne.,2016,109,3,KHan-Uul,Bella Vista,7,Bella Vista,Zaisan
5377,Vega city khotkhond 4 oroo,2023,99.3,7,KHan-Uul,River Garden,6.998992951,River Garden,Marshal
689,Riverplaza 4 oroo,2022,153,8,KHan-Uul,River Garden,6.993464052,River Garden,Marshal
42,50myangat ub ikh delguuriin zuun tald zaswar khiisen 28m2 2 oroo,1980,28,2,Sukhbaatar,"40, 50 myangat",6.964285714,"40, 50 myangat","40, 50 myangat"
2184,Vega city tsogtsolbor khotkhond 135mkw 4 oroo,2022,135,13,KHan-Uul,Busad,6.962962963,Vega city,Tsengeldekh
4110,Vegacity khotkhond 135 m2 4 oroo,2023,135,13,KHan-Uul,Viva city,6.962962963,Viva city,Yarmag
7020,Vega city 135mk² 4 oroo,2023,135,13,KHan-Uul,Japan town,6.962962963,Japan town,Tsengeldekh
707,River plaza 4 oroo bair,2022,154,8,KHan-Uul,River Garden,6.948051948,River Garden,Marshal
6626,Erdenii togol khotkhond4 4oroo,2014,180,4,KHan-Uul,Busad,6.944444444,Erdeniin togol,Marshal
4130,River plaza-d 4 oroo bair,2023,176.2,12,KHan-Uul,Busad,6.923950057,River plaza,Marshal
1115,Riwer gardend 3 oroo,2013,117,7,KHan-Uul,River Garden,6.923076923,River Garden,Marshal
5698,River plazad 4 oroo bair 153.6m2,2022,154.6,8,KHan-Uul,River Garden,6.921086675,River Garden,Marshal
3366,Bella vistab 3oroo,2011,154,3,KHan-Uul,Bella Vista,6.9,Bella Vista,Zaisan
3482,Bella vista-d 3 oroo bair,2011,154,3,KHan-Uul,Bella Vista,6.9,Bella Vista,Zaisan
7484,Vega city khotkhond 102.8m2 3 oroo bair khudaldana,2023,102.5,11,KHan-Uul,Japan town,6.9,Japan town,Tsengeldekh
204,KHotыn towd tsirkiin baruun tal 2 oroo bair,1988,29,5,Sukhbaatar,Busad,6.896551724,Tsirk,Tsirk
6487,KHuukhdiin 100-d gal togoo tusdaa 2 oroo,1992,29,5,Sukhbaatar,220 myangat,6.896551724,220 myangat,SBTalbai
6554,TSirkiin baruun tald gal togoo tusdaa 2 oroo bair,1984,29,5,Sukhbaatar,220 myangat,6.896551724,220 myangat,SBTalbai
654,Bella vista khotkhond 3 oroo bair 154m2,2011,154,3,KHan-Uul,Bella Vista,6.883116883,Bella Vista,Zaisan
1102,KHud zaisan 𝐁𝐄𝐋𝐋𝐀 𝐕𝐈𝐒𝐓𝐀 khotkhond 154mkw 3 oroo bair,2011,154,3,KHan-Uul,Bella Vista,6.883116883,Bella Vista,Zaisan
3820,Zaisand bella vista-d 154 mkw 3 oroo,2011,154,3,KHan-Uul,Bella Vista,6.883116883,Bella Vista,Zaisan
4125,Zaisan 𝐁𝐄𝐋𝐋𝐀 𝐕𝐈𝐒𝐓𝐀 khotkhond 154mkw 3 oroo bair,2017,154,3,KHan-Uul,Bella Vista,6.883116883,Bella Vista,Zaisan
5280,Bella vista-d 3 oroo,2011,154,3,KHan-Uul,Bella Vista,6.883116883,Bella Vista,Zaisan
7466,Bella vista tansag zeregleliin khotkhond 154mkw 3 oroo bair,2010,154,5,KHan-Uul,Bella Vista,6.883116883,Bella Vista,Zaisan
2517,Shangrilla-n zuun tald 248m2 7 oroo bair,2005,248,4,Sukhbaatar,Busad,6.85483871,SBTalbai,SBTalbai
2940,SHangrila-giin khajuud 7 oroo 248m2,2005,248,4,Sukhbaatar,Busad,6.85483871,SBTalbai,SBTalbai
300,"Vega city tsogtsolbor khotkhond 4 oroo 140,5m2",2023,140.5,7,KHan-Uul,Busad,6.832740214,Vega city,Tsengeldekh
559,Vega city tsogtsolbor khotkhond 4 oroo,2023,140.5,7,KHan-Uul,Busad,6.832740214,Vega city,Tsengeldekh
4911,Vega city 4 oroo oron suuts zogsoolыn khamt,2023,140.5,7,KHan-Uul,Busad,6.832740214,Vega city,Tsengeldekh
6845,Wyega siti khotkhond 4 oroo oron suuts,2023,140.5,7,KHan-Uul,Busad,6.832740214,Vega city,Tsengeldekh
7673,Ncd group vega city 4 oroo 140.5m2,2023,140.5,7,KHan-Uul,KHurd,6.832740214,KHurd,Tsengeldekh
130,Orchlon surguuliin baruun tald vega city khotkhond 140mkw 4 oroo,2023,140,7,KHan-Uul,Busad,6.824285714,Vega city,Tsengeldekh
1841,Vega city khotkhond 4 oroo oron suuts,2023,96.8,16,KHan-Uul,Busad,6.8,Vega city,Tsengeldekh
3542,Wyega siti khotkhonы 4oroo bair,2023,140.5,14,KHan-Uul,Busad,6.8,Vega city,Tsengeldekh
3729,Vega city 4 oroo,2023,140.5,7,KHan-Uul,KHunnu,6.8,KHunnu,Tsengeldekh
6339,TSengeldekh khotkhond 2 oroo bair,2020,50,10,KHan-Uul,KHurd,6.8,KHurd,Tsengeldekh
6602,Vega city khotkhond 140.5mkw 4 oroo,2023,140.5,7,KHan-Uul,KHurd,6.8,KHurd,Tsengeldekh
7392,Vega 4uruu,2022,140.5,7,KHan-Uul,KHunnu,6.8,KHunnu,Tsengeldekh
4794,Shangrilla-iin zuun tald 5 oroo bair,2013,248.8,5,Sukhbaatar,Busad,6.792604502,SBTalbai,SBTalbai
663,River plaza d 4 oroo bair,2022,154.7,21,KHan-Uul,Busad,6.787330317,River plaza,Marshal
3768,KHotыn towd 1 oroo bair 18m2,1980,18,1,CHingeltei,"40, 50 myangat",6.777777778,"40, 50 myangat","40, 50 myangat"
5020,Vega city 4oroo,2023,96,16,Bayanzurkh,Busad,6.770833333,Vega city,Tsengeldekh
2683,Zaisand gantig villa 4 oroo bair,2022,279.81,2,KHan-Uul,Zaisan,6.71884493,Zaisan,Zaisan
4068,"Vega city 96,8mkw 4 oroo oron suuts",2023,96.8,16,KHan-Uul,Busad,6.714876033,Vega city,Tsengeldekh
4901,Vega city d 4 oroo oron suuts,2023,96.8,16,KHan-Uul,KHurd,6.714876033,KHurd,Tsengeldekh
5211,"KHotыn tow, shangrila-n zuun tald 7 oroo oron suuts, 2 awtozogsoolыn khamt",2012,223.5,4,Sukhbaatar,Busad,6.711409396,SBTalbai,SBTalbai
5531,Vega city 140.5mkw 4 oroo bair,2023,140.5,16,KHan-Uul,Busad,6.7,Vega city,Tsengeldekh
6009,Vega city 140.5 m.kw shine 4 oroo bair,2023,140,7,KHan-Uul,Japan town,6.7,Japan town,Tsengeldekh
918,Wyega siti-d 4 oroo bair,2023,140.5,7,KHan-Uul,Busad,6.690391459,Vega city,Tsengeldekh
2311,"Vega city ashiglaltand orson 1-r eeljind 97,3mk 3 oroo bair",2019,97.3,3,KHan-Uul,Busad,6.68036999,Vega city,Tsengeldekh
4329,2 oroo,1980,45,3,Sukhbaatar,5-r khoroolol,6.666666667,5-r khoroolol,Tsirk
7228,Zaisand nam gum taiwan orchintoi 4 oroo,2016,180,3,KHan-Uul,Zaisan,6.666666667,Zaisan,Zaisan
7803,Erdeniin togol khaus khotkhond 4oroo 180mkw,2013,180,5,KHan-Uul,Zaisan,6.666666667,Zaisan,Zaisan
5291,Erdeniin togol khotkhond 4 oroo,2000,181,3,KHan-Uul,Busad,6.629834254,Erdeniin togol,Marshal
6642,Erdeniin togol,2021,181.05,3,KHan-Uul,Busad,6.628003314,Erdeniin togol,Marshal
2186,Vega city 1-r eeljind 3 oroo oron suuts,2022,84.3,10,KHan-Uul,Busad,6.6,Vega city,Tsengeldekh
5517,Sky garden khotkhond 165 mkw 4 oroo,2022,165.23,3,KHan-Uul,Busad,6.6,Sky garden,Marshal
6470,The upper house residence 3 oroo,2023,110,10,KHan-Uul,Busad,6.6,The upper house residence,Zaisan
6471,The upper house residence d 5 oroo,2023,281,15,KHan-Uul,Busad,6.6,The upper house residence,Zaisan
