ID,title,year_of_commissioning,area_sq_m,apartment_storey,district,location,price_m2,loc_mid,location_group
6142,Ikh nayad khudaldaanы towiin zuun tald river villa khotkhond 3 oroo oron suuts,2022,119,7,Bayanzurkh,Olimp khotkhon,3,Olimp khotkhon,Home plaza
6148,Tbd-anduudыn chankh khoino 1 oroo,2012,26,10,Bayangol,25-r emiin san,3,25-r emiin san,Tomor zam
6167,Dolgoon nuurt 3 oroo bair 3 sard orokh 79.26 mkw,2023,79.26,5,Sukhbaatar,Bayanburd,3,Bayanburd,Bayanburd
6218,"Emartiin ard, 48 surguuliin hajuud 3 oroo",1980,60,3,Bayanzurkh,Sansar,3,Sansar,Sansar
6244,100aild oron suuts,2022,30,5,Sukhbaatar,100 ail,3,100 ail,100 ail
6389,Bayanzurkh duurgiin zuun tald 2 oroo bair,2018,44.13,2,Bayanzurkh,Ofitsyer,3,Ofitsyer,Officer
6548,YAarmagt 3 oroo oron suuts,2022,71.4,15,KHan-Uul,YAarmag,3,YAarmag,Yarmag
6556,2 oroo bair 40m2,2006,40,1,Sukhbaatar,100 ail,3,100 ail,100 ail
6561,120 ereliin bairand 4oroo,2012,100,2,KHan-Uul,120 myangat,3,120 myangat,120 myangat
6604,Orgilыn urd tuul one khotkhond 3 oroo,2015,83.8,3,KHan-Uul,120 myangat,3,120 myangat,120 myangat
6608,Zaisand 3 uruu,2014,56,7,KHan-Uul,UB Town,3,UB Town,Misheel
6615,"YAarmag nukht zam daguu green garden khotkhon 45,03mkw 2 oroo",2023,45.03,5,KHan-Uul,YAarmag,3,YAarmag,Yarmag
6663,2 oroo,2022,50.29,13,KHan-Uul,YAarmag,3,YAarmag,Yarmag
6675,River villa khotkhond 76m2 2 oroo bair,2022,76,12,KHan-Uul,Bayanmongol khoroolol,3,Bayanmongol khoroolol,Bayanmongol khoroolol
6689,Zaisand altan bogd tsogtsolbor khotkhond 4 oroo bair,2022,136,7,KHan-Uul,Zaisan,3,Zaisan,Zaisan
6701,2022 ond ashiglaltand orson driim appartamyent khotkhond 3 oroo,2022,67.65,10,Bayanzurkh,15-r khoroolol,3,15-r khoroolol,Jukov
6723,Darkhan orgoo khotkhon 3 oroo,2022,60,4,Sukhbaatar,Dolgoon nuur,3,Dolgoon nuur,Dolgoon nuur
6746,1oroo bair khoroolold /tundemun,1988,35,3,Bayangol,"3, 4 khoroolol",3,"3, 4 khoroolol","3, 4-r khoroolol"
6852,Zaisan golden vill khotkhond 168.28 mkw 5 oroo bair 2 grajiin khamt,2017,168,5,KHan-Uul,Zaisan,3,Zaisan,Zaisan
6877,TSetserlegt khureelengiin oir sunny town 4oroo bair,2014,88,4,Bayanzurkh,Olimp khotkhon,3,Olimp khotkhon,Home plaza
6883,"YAarmag, deedsiin orgoo khotkhond 52.3mkw 2 oroo bair",2022,52.3,12,KHan-Uul,YAarmag,3,YAarmag,Yarmag
6891,Sansarыn tunyel 3oroo bair,1990,80,8,Bayanzurkh,Sansar,3,Sansar,Sansar
6898,Gal togoo tusdaa 3 oroo,1980,60,3,Bayanzurkh,Sansar,3,Sansar,Sansar
6934,Anduud 26mkw 1 oroo,2015,26,9,Bayangol,25-r emiin san,3,25-r emiin san,Tomor zam
6952,"Saruul khoroolold 88,2mkw mastyertai 3 oroo",2015,88.2,8,Bayanzurkh,Bayanmongol khoroolol,3,Bayanmongol khoroolol,Bayanmongol khoroolol
6980,Oron suuts,2022,50.29,13,KHan-Uul,YAarmag,3,YAarmag,Yarmag
7043,Bzd-t 2 oroo bair,2023,42.76,16,Bayanzurkh,Ofitsyer,3,Ofitsyer,Officer
7059,1 oroo bair,2017,32,9,Bayanzurkh,15-r khoroolol,3,15-r khoroolol,Jukov
7065,Artsat forchyun khotkhond 3 oroo bair,2023,76,6,KHan-Uul,YAarmag,3,YAarmag,Yarmag
7087,Udirdlagыn akadyemыn urd flower town 4 oroo,2013,118.5,10,KHan-Uul,Zaisan,3,Zaisan,Zaisan
7129,5 shard 3 oroo,1990,40,4,Songino KHairkhan,5 shar,3,5 shar,5 shar
7130,Goldyen will khotkhond 168.28m2 5 oroo oron suuts 2 dulaan zogsool,2015,168.28,5,KHan-Uul,Zaisan,3,Zaisan,Zaisan
7202,Zaisan soyombotoi uulыn engert astra khotkhond 2 oroo bair,2022,45,8,KHan-Uul,Zaisan,3,Zaisan,Zaisan
7241,"Bayanmongol khoroolold 3 oroo bair 112,8m2",2010,112.8,3,Bayanzurkh,Bayanmongol khoroolol,3,Bayanmongol khoroolol,Bayanmongol khoroolol
7268,Zaisan golden vill khotkhond 5 oroo,2015,168.28,5,KHan-Uul,Zaisan,3,Zaisan,Zaisan
7283,Ogoomor zakhыn khajuud altan tewsh khotkhond 3 oroo oron suuts,2022,62.4,10,Bayanzurkh,Ogoomor zakhыn zuun,3,Ogoomor zakhыn zuun,Ogoomor zakh
7324,2 oroo,2023,50.75,4,KHan-Uul,YAarmag,3,YAarmag,Yarmag
7331,2 oroo bair,2023,45.17,9,Sukhbaatar,100 ail,3,100 ail,100 ail
7332,2 oroo bair,2022,46.21,9,Sukhbaatar,100 ail,3,100 ail,100 ail
7538,Zaisand agula zaisan apartment-d 3 oroo bair,2023,79.5,4,KHan-Uul,Zaisan,3,Zaisan,Zaisan
7549,Zuun 4 zam amyerikan denj d 3oroo bair,2014,90,1,Bayanzurkh,15-r khoroolol,3,15-r khoroolol,Jukov
7564,"Zaisand 4 oroo bair 106,5 m2",2014,106,4,KHan-Uul,Zaisan,3,Zaisan,Zaisan
7578,King marshal taund 4 oroo,2008,126,5,KHan-Uul,Marshall town,3,Marshall town,Marshal
7589,Eagle town-d 2 oroo bair,2022,61,2,KHan-Uul,YAarmag,3,YAarmag,Yarmag
7590,Riva residence 3 oroo 84.5m2,2022,84.5,3,KHan-Uul,YAarmag,3,YAarmag,Yarmag
7627,Dolgoon nuur,2023,60,3,Sukhbaatar,Dolgoon nuur,3,Dolgoon nuur,Dolgoon nuur
7680,Deedsiin orgoo,2022,29.28,6,KHan-Uul,YAarmag,3,YAarmag,Yarmag
7699,Crystal town-d 183.53m.kw 5 oroo,2015,183.53,1,Bayanzurkh,Olimp khotkhon,3,Olimp khotkhon,Home plaza
7701,Dolgoon nuur apartmyentad 2-oroo bair,2022,48.79,15,Sukhbaatar,Dolgoon nuur,3,Dolgoon nuur,Dolgoon nuur
7764,"Bayanmongol khoroolold 112,8 mkw 3 oroo 2 garajtai bair",2010,112.8,3,Bayanzurkh,Bayanmongol khoroolol,3,Bayanmongol khoroolol,Bayanmongol khoroolol
7796,Altai khotkhonы 2 oroo oron suuts,2022,55.23,4,Bayangol,Altai khotkhon,3,Altai khotkhon,Altai khotkhon
7836,Seoul garden soul gardyen 3 oroo 63 m2,2022,63,3,KHan-Uul,Nisekh,3,Nisekh,Nisekh
7853,KHud 2 oroo bair,2020,62,10,KHan-Uul,19-r khoroolol,3,19-r khoroolol,19-r khoroolol
745,Wokzalыn ard 2 oroo 77.4m2,2021,77.4,15,Bayangol,6-r bichil,3,6-r bichil,"3, 4-r khoroolol"
1419,Altai khotkhond 3 oroo bair,2022,78.68,3,Bayangol,Altai khotkhon,3,Altai khotkhon,Altai khotkhon
4093,"Skhd, dragonы ard udakhgui orokh 43.7 mkw 2 oroo",2023,43.7,8,Songino KHairkhan,5 shar,3,5 shar,5 shar
5258,Altan tewsh khotkhond 3 oroo bair,2022,68.9,12,Bayanzurkh,Busad,3,Altan tevsh,Ogoomor zakh
7133,Kinl uildwert 2 oroo bair,2023,51.88,16,Bayanzurkh,Busad,3,Kino uildver,Jukov
7819,Zaisand 3 oroo bair,2019,101.65,4,KHan-Uul,Zaisan,3,Zaisan,Zaisan
2797,KHoroolold kapital taund 3 oroo,2015,93.17,3,Bayangol,"3, 4 khoroolol",2.999892669,"3, 4 khoroolol","3, 4-r khoroolol"
2656,KHud altai khotkhonы urd peace town 1-d 63.67 mkw 3 oroo,2018,63.67,8,KHan-Uul,Altai khotkhon,2.99984294,Altai khotkhon,Altai khotkhon
3132,3-r emnelgiin zuun tald 2 oroo bair,2012,64,3,Bayangol,Busad,2.9990625,3-r emneleg,10-r khoroolol
6707,Modnы khoyort 93.30 mkw tselger 3 oroo bair,2012,93.3,12,Bayangol,"3, 4 khoroolol",2.998928189,"3, 4 khoroolol","3, 4-r khoroolol"
5491,KHangai khotkhonы zuun urd 2 oroo bair,2016,48.7,12,Sukhbaatar,100 ail,2.997946612,100 ail,100 ail
6155,KHotыn towd narnы guurnii baruun tald gal togoo tusdaa 2 oroo bair,2016,67.72,13,Bayangol,Narnы khoroolol,2.99763733,Narnы khoroolol,Narnii khoroolol
1444,Bzd 14-r khoroolol 2 oroo bair,2022,41.37,7,Bayanzurkh,14-r khoroolol,2.997341068,14-r khoroolol,Narantuul
4746,Misheel ekspo-iin baruun tald 3 oroo,2016,73.09,2,KHan-Uul,Busad,2.996305924,Misheel,Misheel
199,1 oroo,2023,32.04,1,KHan-Uul,Zaisan,2.996254682,Zaisan,Zaisan
3285,Bair,2015,41.06,1,KHan-Uul,15-r khoroolol,2.995616171,15-r khoroolol,Jukov
674,Zaisan golden vill khotkhond 168.28 mkw 5 oroo bair 2 grashыn khamt,2017,168.28,5,KHan-Uul,Zaisan,2.995008319,Zaisan,Zaisan
7259,BGD 3khoroolold 2oroo 76.8mkw bair,2013,76.8,6,Bayangol,"3, 4 khoroolol",2.994791667,"3, 4 khoroolol","3, 4-r khoroolol"
626,Bayanmongol khoroolold 2oroo,2012,71.8,2,Bayanzurkh,Bayanmongol khoroolol,2.994428969,Bayanmongol khoroolol,Bayanmongol khoroolol
4524,Bzd 26-r khoroo bayanmongol khoroolold 71.8mkw 2oroo,2012,71.8,2,Bayanzurkh,Bayanmongol khoroolol,2.994428969,Bayanmongol khoroolol,Bayanmongol khoroolol
6712,Bzd 26-r khoroo bayanmongol khoroolold 71.8 mkw 2 oroo,2015,71.8,2,Bayanzurkh,Bayanmongol khoroolol,2.994428969,Bayanmongol khoroolol,Bayanmongol khoroolol
4445,Udirdlagыn akadyemiin urd 4 oroo 170m2 oron suuts,2010,170,4,KHan-Uul,Busad,2.994117647,Akademi,Udirdlagiin akademi
4618,"BZD Nart-3 khotkhond 33.4m2 1 oroo 33,4m2",2023,33.4,7,Bayanzurkh,14-r khoroolol,2.994011976,14-r khoroolol,Narantuul
896,Bgd-t 2oroo,2021,58.8,15,Bayangol,Busad,2.993197279,0,#N/A
1678,"Bzd, ogoomor zakhыn zuun tald altan tewsh khotkhond 3oroo 72,5mkw",2022,72.5,4,Bayanzurkh,14-r khoroolol,2.993103448,14-r khoroolol,Narantuul
5215,13r khoroolol bokhiin orgoo urd 2 oroo,2010,72.5,10,Bayanzurkh,13-r khoroolol,2.993103448,13-r khoroolol,13-r khoroolol
582,"YAarmagt bogd willa khotkhond 67,84mkw 3 oroo bair",2021,67.84,2,KHan-Uul,YAarmag,2.992334906,YAarmag,Yarmag
1729,YAarmagt 71.87mkw 3 oroo,2020,71.87,9,KHan-Uul,YAarmag,2.991512453,YAarmag,Yarmag
7350,Zaisan minii ger khotkhond 4 oroo bair,2016,117,13,KHan-Uul,UB Town,2.991452991,UB Town,Misheel
6489,2 oroo,2023,47.26,14,KHan-Uul,21-r khoroolol,2.990055015,21-r khoroolol,21-r khoroolol
5714,YAarmag enkanto oranj taun-d 2 oroo,2017,51.28,15,KHan-Uul,YAarmag,2.990054602,YAarmag,Yarmag
6480,3 oroo,2023,75.16,5,KHan-Uul,21-r khoroolol,2.990021288,21-r khoroolol,21-r khoroolol
5359,Altai khotkhonы 4r eelj 47.71mkw 2 oroo oron suuts,2023,47.71,3,Bayangol,Altai khotkhon,2.989939216,Altai khotkhon,Altai khotkhon
3496,25-r emiin sangiin arktai sharыn khajuud 3 oroo bair,2010,97,1,Bayangol,25-r emiin san,2.989690722,25-r emiin san,Tomor zam
7378,16-r khoroolold 2 oroo bair,2016,50.18,7,Bayanzurkh,16-r khoroolol,2.989238741,16-r khoroolol,Tsaiz
3127,Bzd ogoomor zakhыn baruun tald altan tewsh khotkhon 51.5 mkw 2 oroo,2022,51.5,9,Bayanzurkh,Zuun 4 zam,2.988349515,Zuun 4 zam,Zuun 4 zam
7395,Bzd -t 2 oroo shine bair,2023,38.15,5,Bayanzurkh,Busad,2.988204456,BZD,Officer
3334,Jukowt 3oroo,2018,77,5,Bayanzurkh,Zuun 4 zam,2.987012987,Zuun 4 zam,Zuun 4 zam
1032,"Bzd, 26-r khoroo, tsetserlegt khureelengiin ard sunny town 88,61mkw 4 oroo",2014,89,4,Bayanzurkh,Busad,2.986853933,Sunny town,Dunjingarav
5116,Zaisan suld khotkhond 3 oroo oron suuts,2023,73,7,KHan-Uul,Zaisan,2.98630137,Zaisan,Zaisan
275,Buhiin urguu 2uruu,2010,72,10,Bayanzurkh,Busad,2.986111111,Bokhiin orgoo,13-r khoroolol
5471,Baynmongol horoolold 2 uruu bair,2014,72,2,Bayanzurkh,Bayanmongol khoroolol,2.986111111,Bayanmongol khoroolol,Bayanmongol khoroolol
5874,"Gemtliin emnelegiin urd, modnы 2ыn zam daguu 3 oroo bair",2015,72,3,Bayangol,"3, 4 khoroolol",2.986111111,"3, 4 khoroolol","3, 4-r khoroolol"
5067,Nisekh soul gardyen khotkhond 2 oroo,2022,64,13,KHan-Uul,Nisekh,2.9859375,Nisekh,Nisekh
2318,Zaisan soyombot khotkhond 2 oroo bair,2015,58.63,4,KHan-Uul,Zaisan,2.984820058,Zaisan,Zaisan
1993,Altai khotkhon khos orgoo 2 deer oroo bair,2014,32.5,11,Bayangol,Altai khotkhon,2.984615385,Altai khotkhon,Altai khotkhon
450,Ineemseglel khotkhon 50.26,2020,50.26,15,Bayanzurkh,Ofitsyer,2.9844807,Ofitsyer,Officer
6161,River stone 2-t 2 oroo oron suuts,2014,56.97,10,KHan-Uul,River stone,2.984026681,River stone,Altai khotkhon
6477,YAarmag encanto orange town 2 oroo,2020,51.28,15,KHan-Uul,YAarmag,2.983619345,YAarmag,Yarmag
5905,1oroo bair,2009,41.9,2,Bayanzurkh,13-r khoroolol,2.983293556,13-r khoroolol,13-r khoroolol
1248,"YAarmag, deedsiin orgoo ashiglaltand orson",2022,50.29,7,KHan-Uul,YAarmag,2.982700338,YAarmag,Yarmag
3553,"YAarmag, deedsiin orgoo gerchilgee belen",2022,50.29,7,KHan-Uul,YAarmag,2.982700338,YAarmag,Yarmag
3628,YAarmagt 2 oroo bair,2022,50.29,5,KHan-Uul,YAarmag,2.982700338,YAarmag,Yarmag
2348,River stone khotkhon 57m2 2oroo oron suuts,2013,57,10,KHan-Uul,Altai khotkhon,2.98245614,Altai khotkhon,Altai khotkhon
7341,Riverstone 2 uruu bair,2016,57,5,KHan-Uul,River stone,2.98245614,River stone,Altai khotkhon
5927,TSagaan khuaran khotkhond 50.3mk 2 oroo bair garaj-n khamt,2016,50.3,10,Bayanzurkh,14-r khoroolol,2.982107356,14-r khoroolol,Narantuul
571,Sunset khotkhond 2 oroo oron suuts,2022,46.29,4,KHan-Uul,YAarmag,2.981205444,YAarmag,Yarmag
